ลำดับ,ชื่อชุดการแสดง,คำอธิบายชุดการแสดง
91,ระบำวิชนี,"ระบำวิชนี สร้างสรรค์ขึ้นด้วยแนวคิดความนิยมในการใช้พัด 
เพื่อบรรเทาความร้อนจากสภาพอากาศของประเทศไทย ผู้แสดงเป็นหญิงสาวแต่งกายชุดนางในราชสำนัก มือขวาถือพัด ""วิชนี"" ร่ายรำตามทำนองเพลงและบทร้อง"
92,ระบำศรีชยสิงห์,"ระบำศรีชยสิงห์ เป็นระบำที่สร้างสรรค์ท่ารำและ
เครื่องแต่งกายเลียนแบบภาพจำหลักของนางอัปสราบายน บริเวณปราสาทเมืองสิงห์ ริมแม่น้ำแควน้อย จังหวัดกาญจนบุรี ปรากฏในจารึกปราสาทพระขรรค์ สมัยพระเจ้าชัยวรมันที่ 7 ว่าดินแดนแถบนี้มีวัฒนธรรมดั้งเดิมผสมผสานระหว่าง มอญ ขอม และไทย"
93,รำซัดชาตรี,"รำซัดซาตรี เป็นการแสดงที่ปรับปรุงมาจากการรำซัดไหว้ครู
ในการแสดงละครชาตรี เป็นรูปแบบการรำเบิกโรงก่อนการแสดงละคร
ในลักษณะการรำคู่ ประกอบด้วยผู้แสดงฝ่ายชายและผู้แสดงฝ่ายหญิง
แสดงลีลาท่ารำรวดเร็วตามท่วงทำนองดนตรี"
94,รำเบิกโรงดอกไม้เงินทอง,"รำเบิกโรงดอกไม้เงินทอง เป็นระบำเบิกโรงละครใน
พระบาทสมเด็จพระจอมเกล้าเจ้าอยู่หัวโปรดฯ ให้ประดิษฐ์ขึ้นใหม่
โดยใช้ผู้แสดง 2 คน แต่งกายยืนเครื่องพระ มือขวาถือดอกไม้ทอง
ส่วนมือซ้ายถือดอกไม้เงิน ร่ายรำตามบทร้องและทำนองเพลง มุ่งให้เกิดความสวัสดิมงคลแก่การแสดง และผู้ชมโดยทั่วกัน"
95,รำประเลง,"เป็นการรำเบิกโรงละครใน อันมีมาแต่โบราณโดยถือกันว่า เป็นประเพณีที่ต้องแสดงก่อนเริ่มการแสดงเรื่องใหญ่ใช้ผู้แสดงแต่งกายยืน เครื่องพระ และสวมหัวเทวดาโล้น ปิดหน้า 2 คน สมมติว่าเป็นเทวดาถือ
หางนกยูงทั้งสองมือ ออกมารำตามทำนองเพลงหน้าพาทย์ ซึ่งอาจใช้เพลงกลมหรือโคมเวียน แล้วออกด้วยเพลงชำนาญ อันเป็นเพลงประกอบอิริยาบถไปมาของผู้มีอิทธิฤทธิ์ศักดิ์สิทธิ์ เพื่อให้เกิดสวัสดิมงคลและ
ปัดรังควาญ ป้องกันเสนียดจัญไร ที่จะเป็นอุปสรรคแก่การแสดงต่อไป"
96,รำฝรั่งคู่,"รำฝรั่งคู่ เป็นการแสดงรำคู่ชุดหนึ่ง ผู้แสดงร่ายรำด้วยลีลาประกอบทำนอง
เพลงฝรั่งรำเท้า ตะเขิ่ง เจ้าเซ็น เพลงเร็ว เพลงฉิ่ง จีนรัว จีนรำพัดและจีนถอน
แต่งกายยืนเครื่องพระ-นาง มือทั้งสองถือพัดประกอบการร่ายรำ ในช่วงท้ายของการแสดง"
97,รำพลายชุมพล,"การรำพลายชุมพลแต่งตัวเป็นการรำเดี่ยวที่อยู่ในละครเสภา เรื่องขุนช้างขุนแผน ตอนพระไวยแตกทัพ  ในตอนนี้ได้กล่าวถึงพลายชุมพล จะออกไปทำศึกกับพระไวย โดยปลอมตัวเป็นมอญไปออกรบกับ
พระไวย เพื่อหวังคิดแก้แค้นที่พระไวยเคยมีวาจาล่วงเกินตน ใช้ทำนองเพลงมอญดูดาวประกอบถึงเนื้อเรื่องบรรยายถึงการแต่งตัว แสดงให้เห็นถึงความองอาจสง่างามของตัวละครพลายชุมพล"
98,รำมโนห์ราบูชายัญ,"รำมโนห์ราบูชายัญ เป็นการแสดจร้าเดี่ยว กล่าวถึงนาจบโนห์รา
มนุษย์ผู้หญิงที่มีปีกหางประดุจนก การแสดงมุ่งมุ่งเน้นลีลาการร่ายรำรอบกองไฟ ในพิธีบูชายัญก่อนบินหนีกลับไปยังเขาไกรลาส"
99,รำแม่บท,"รำแม่บท เป็นรำมาตรฐาน ใช้สำหรับการฝึกหัดเบื้องต้นด้านนาฏศิลป์ไทย
บทร้องกำหนดชื่อท่ารำไว้อย่างชัดเจน แต่งกายยืนเครื่องพระ-นาง
รำแม่บทนี้เป็นต้นแบบบในการสร้างกระบวนท่ารำในการแสดชุดต่าง ๆ"
100,หนุมานจับนางเบญกาย,"หนุมานจับนางเบญกาย เป็นการแสดงชุดหนึ่งอยู่ในการแสดงโขน
เรื่องรามเกียรติ์ แสดงถึงลีลาร่ายรําในการไล่ติดตามและเกี้ยวพาราสีระหว่างหนุมาน
ซึ่งเป็นวานรกับนางเบญกายซึ่งเป็นยักษิณี จากมูลเหตุที่นางเบญกาย
ได้รับคำสั่งจากทศกัณฐ์ให้ปลอมเป็นนางสีดาแสร้งตายลอยน้ำเป็นอุบาย 
ให้พระรามยกทัพกลับไป แต่ถูกพิสูจน์เพื่อหาตัวตนแท้จริงโดยการ
นําไปเผาไฟ เมื่อนางทนต่อความร้อนไม่ได้จึงคืนร่างกลับดังเดิม
แล้วพยายามเหาะหลบหนี แต่หนุมานไล่ตามจับไว้ได้ "
101,หนุมานจับนางสุพรรณมัจฉา,"หนุมานจับนางสุพรรณมัจฉา เป็นการแสดงชุดหนึ่งอยู่ในการแสดงโขน
เรื่องรามเกียรติ์  กระบวนท่ารําสื่อถึงการไล่จับ และการเกี้ยวพาราสี
ของตัวละครระหว่างหนุมานซึ่งเป็นวานรกับนางสุพรรณมัจฉา
ซึ่งเป็นผู้หญิงที่มีหางเป็นปลา จากมูลเหตุที่นางสุพรรณมัจฉาพา
เหล่าบริวารปลามาคาบก้อนหินเพื่อขัดขวางมิให้กองทัพของพระราม
ทําถนนข้ามมหาสมุทร เพื่อเดินทางไปชวยนางสีดาที่กรุงลงกา"
102,ระบำเซียงแสน,"ระบําเชียงแสน เป็นระบําโบราณคดีที่สร้างสรรค์ท่ารําจากภาพจิตรกรรมฝาผนัง 
และลายปูนปั้นยุคอาณาจักรเชียงแสน ประมาณพุทธศตวรรษที่ 16 - 23 
ที่ปรากฎในโบราณสถาน ลีลาท่ารําและเสียงดนตรีภาคเหนือ
และภาคตะวันออกเฉียงเหนือ"
103,ระบำทวารวดี,"ระบําทวารวดี เป็นระบําโบราณคดีที่สร้างสรรค์ท่ารําจากโบราณวัตถุ
ภาพจิตรกรรมและประติมากรรม ในสมัยทวารวดีประมาณพุทธศตวรรษที่ 12 - 16
ลีลาท่ารําและเสียงดนตรี ตลอดจนเครื่องแต่งกายมีแบบอย่างจากเชื้อชาติมอญ
อันเป็นชนเผ่าดังเดิมในดินแดนทวารวดี"
104,ระบำลพบุรี,"ระบําลพบุรี เป็นระบําโบราณคดีที่สร้างสรรค์ท่ารําเลียนแบบประติมากรรม
และภาพจําหลักสมัยลพบุรี ที่ปรากฏบนทับหลังและหน้าบันของปราสาทหินพิมาย
จังหวัดนครราชสีมา และปราสาทพนมรุ้ง จังหวัดบุรีรัมย์ อันเป็นศิลปะแบบขอม
ระหว่างพุทธศตวรรษที่ 12 - 13 ดังนั้น วัฒนธรรมจากดินแดนในยุคนี้
จึงส่งผลต่อการสร้างสรรค์ท่ารํา ดนตรี และเครื่องแต่งกาย "
105,ระบำศรีวิชัย,"ระบําศรีวิชัย เป็นระบําโบราณคดีที่สร้างสรรค์ท่ารําจากหลักฐานศิลปกรรม
และโบราณวัตถุสมัยศรีวิชัย มีอาณาจักรตั้งอยู่บนแหลมมลายู 
บริเวณจังหวัดชุมพร ปัตตานี นครศรีธรรมราชและหมู่เกาะอินโดนีเซีย ราวพุทธศตวรรษที่ 13-18 ดังนั้น วัฒนธรรมจากดินแดนในยุคนี้ จึงส่งผลต่อการสร้างสรรค์ท่ารํา ดนตรี และเครื่องแต่งกาย "
106,ระบำสุโขทัย,"ระบําสุโขทัย เป็นระบําโบราณคดีที่สร้างสรรค์ท่ารําจากประติมากรรม
พระพุทธรูปปูนปั้นและพระพุทธรูปหล่อสำริดปางลีลาสมัยสุโขทัย
ระหว่างพุทธศตวรรษที่ 19 - 20 ดังนั้น ท่ารําและดนตรี
ตลอดจนเครื่องแต่งกายจึงมีรูปแบบจากสมัยสุโขทัย"
107,ฉุยฉายทศกัณฐ์ลงสวน,"ฉุยฉายทศกัณฐ์ลงสวน เป็นการแสดงชุดหนึ่งในการแสดงโขน
เรื่องรามเกียรติ์  กล่าวถึงทศกัณฐ์ เจ้ากรุงลงกา แสดงลีลาท่ารํา
ด้วยความภาคภูมิใจในความสง่างามของตน โดยมือขวาถือพัด
และคล้องพวงมาลัย เพื่อไปเกี้ยวนางสีดา "
108,ฉุยฉายเบญกาย,"ฉุยฉายเบญกาย เป็นการแสดงชุดหนึ่งในการแสดงโขนเรื่องรามเกียรติ์
กล่าวถึงนางเบญกาย แสดงลีลาท่ารําด้วยความภาคภูมิใจในความงามของตน
ที่สามารถแปลงกายได้งดงามเหมือนนางสีดา เพื่อทําอุบายตามคําสั่ง
ของทศกัณฐ์ ในการยุติสงครามกับพระราม"
109,ฉุยฉายพราหมณ์,"ฉุยฉายพราหมณ์ เป็นการแสดงชุดหนึ่งปรากฏในการแสดงเบิกโรง
ชุด พระคเณศเสียงา กล่าวถึง พระนารายณ์แปลงกายเป็นพราหมณ์น้อย ร่ายรําอย่างงดงามเพื่อขอพรต่อพระอุมามเหสีของพระอิศวร ผู้เป็นเทพเจ้าองค์หนึ่งตามความเชอของชาวฮินดู"
110,ฉุยฉายยอพระกลิ่น,"ฉุยฉายยอพระกลิ่น เป็นการแสดงชุดหนึ่งในการแสดงละครนอก
เรื่องมณีพิชัย กล่าวถึง นางยอพระกลิ่นนางเอกของเรื่อง
แสดงลีลาท่ารําด้วยความภาคภูมิใจในความงามของตน
ก่อนออกเดินทางไปพบพระมณีพิชัยผู้เป็นพระสวามี "
111,ฉุยฉายวันทอง,"ฉุยฉายวันทอง เป็นการแสดงชุดหนึ่งอยู่ในการแสดงละคร
เรื่องขุนชางขุนแผน กล่าวถึง นางวันทอง มารดาของพระไวย 
ซึ่งเสียชวิตไปแล้ว แต่ยังคงมีความห่วงใยบุตร จึงแปลงกาย 
เป็นสาวงามแสดงลีลาท่ารําด้วยความภาคภูมิใจในความงามของตน
เพื่อไปแจ้งกลอุบายศึกแก่พระไวยผู้เป็นบุตรชาย"
112,ฉุยฉายศูรปนขา,"ฉุยฉายศูรปนขา เป็นการแสดงชุดหนึ่งอยู่ในการแสดงโขน
เรื่องรามเกียรติ์  กล่าวถึง นางศูรปนขายักษิณีผู้เป็นน้องสาวทศกัณฐ์
แปลงกายเป็นสาวงามแสดงลีลาท่ารําด้วยความภาคภูมิใจในความงามของตน
เพื่อไปเกี้ยวพาราสีพระราม"
113,ฉุยฉายหนุมานทรงเครื่อง,"ฉุยฉายหนุมานทรงเครื่อง เป็นการแสดงชุดหนึ่งอยู่ในการแสดงโขน
เรื่องรามเกียรติ์ กล่าวถึงหนุมาน วานรกายสีขาวทหารเอกของพระราม
ทําอุบายไปเป็นฝ่ายทศกัณฐ์ แสดงการแต่งองค์ทรงเครื่องแบบยักษ์ ด้วยลีลาการร่ายรําผสมผสานกิริยาของวานร ก่อนออกเดินทาง ไปร่วมทําสงครามครังสุดท้ายระหว่างพระรามกับทศกัณฐ์ "
114,ชุมนุมฉุยฉาย,"ชุมนุมฉุยฉาย เป็นการแสดงชุดหนึ่งที่พัฒนารูปแบบ
การร้องรําฉุยฉาย โดยรวบรวมตัวละครประเภทต่าง ๆ การรําสื่อถึงความภาคภูมิใจ ในความงามของตัวละคร ผู้แสดงแต่งกายยืนเครื่องตามลักษณะตัวละคร พระ-นาง พราหมณ์ ยักษ์ และลิง"
